# NYC residential operators — source-acquisition candidate registry.
# Columns: name,domain,tier,confidence,note
#   tier       1 = large portfolio / high unit count, 2 = mid, 3 = small or narrow
#   confidence confirmed = domain published in a directory or already reached;
#              unverified = best-guess domain, expect some to fail DNS
# The survey tool probes each domain for a listings page, so wrong guesses cost
# nothing but a line of output. Prune as results come in.
name,domain,tier,confidence,note
Sentinel Real Estate,sentinelcorp.com,2,unverified,national with NYC assets
Lincoln Property Company,lincolnapts.com,2,unverified,national manager
L+M Development Partners,lmdevpartners.com,1,unverified,largest affordable developer
Phipps Houses,phippsny.org,1,unverified,oldest and largest nonprofit owner
Hudson Companies,hudsoncos.com,2,unverified,affordable and market-rate
Jonathan Rose Companies,rosecompanies.com,2,unverified,green affordable portfolio
Omni New York,omninewyork.com,2,unverified,affordable preservation
BRP Companies,brpcompanies.com,2,unverified,mixed-income developer
Camber Property Group,camberpg.com,2,unverified,affordable preservation
Fairstead,fairstead.com,2,unverified,affordable preservation
Tredway,tredway.com,3,unverified,affordable developer
MDG Design and Construction,mdgny.com,3,unverified,affordable developer
Monadnock Development,monadnockdevelopment.com,3,unverified,affordable developer
Arker Companies,arkercompanies.com,2,unverified,large affordable owner
WinnCompanies,winncompanies.com,2,unverified,national affordable manager
Settlement Housing Fund,settlementhousingfund.org,3,unverified,nonprofit owner
Breaking Ground,breakingground.org,3,unverified,supportive housing
Riseboro Community Partnership,riseboro.org,3,unverified,Brooklyn nonprofit owner
Alma Realty,almarealtycorp.com,2,unverified,Astoria and LIC
Marx Realty,marxrealty.com,3,unverified,mixed portfolio
Sky Management,skymanagementny.com,3,unverified,Manhattan small buildings
Related Affordable,relatedaffordable.com,2,unverified,affordable arm of Related
The Georgetown Company,thegeorgetowncompany.com,3,unverified,mixed developer
Empire State Realty Trust,esrtreit.com,3,unverified,mostly office some resi
Rabsky Group,rabskygroup.com,3,unverified,Williamsburg and Bushwick
Adam America Real Estate,adamamerica.com,3,unverified,Brooklyn condo and rental
Avery Hall Investments,averyhall.com,3,unverified,Brooklyn developer
Tavros Capital,tavroscapital.com,3,unverified,Manhattan and Brooklyn
RedSky Capital,redskycapital.com,3,unverified,Brooklyn retail and resi
Hope Street Capital,hopestreetcapital.com,3,unverified,Brooklyn developer
Brooklyn Home Company,thebrooklynhomecompany.com,3,unverified,Brooklyn boutique
Cayuga Capital Management,cayugacapital.com,3,unverified,Brooklyn and Queens
Greystone Property Management,greystoneproperty.com,3,unverified,national with NYC
FirstService Residential,fsresidential.com,2,unverified,largest NYC building manager
Douglas Elliman Property Management,ellimanpm.com,2,unverified,large third-party manager
Akam Living Services,akam.com,3,unverified,co-op and condo manager
Related Argent,relatedargent.com,3,unverified,likely UK entity — expect miss
